
Rating 5 (Total Players: 18):
Player: רועי משפתי, Rating: 5, Overall Score: 132.8, Points Score: 22
Player: ירין סרדל, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ריצ`ארד בואטנג, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ליאם נחום, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ליעם דוד מרגי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: עלי עבאס, Rating: 1, Overall Score: 1.2, Points Score: 0
Player: אוראל באייה, Rating: 1, Overall Score: 5.3, Points Score: 1
Player: אילי צעירי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רוי קורין, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: בסאם זערורה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: לירוי גבאי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: סוף פודגוראנו, Rating: 1, Overall Score: 4.1, Points Score: 1
Player: יובל שדה, Rating: 1, Overall Score: 11.7, Points Score: 1
Player: לירן סרדל, Rating: 1, Overall Score: 9.8, Points Score: 2
Player: עדן שמיר, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: גוני נאור, Rating: 1, Overall Score: 2.0, Points Score: 0
Player: עילאיי חג`ג`, Rating: 1, Overall Score: 6.5, Points Score: 1
Player: איליי מדמון, Rating: 1, Overall Score: 1.4, Points Score: 0
Player: שגיא גניס, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: מוחמד כנעאן, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: מרטין אנדזי אטמנגה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: סייד אבו פרחי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ירין סוויסה, Rating: 1, Overall Score: 5.1, Points Score: 1
Player: ראני חדיד, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: עאמר באסל, Rating: 1, Overall Score: 1.4, Points Score: 0
Player: בר לין, Rating: 1, Overall Score: 1.9, Points Score: 0
Player: חמזה שיבלי, Rating: 1, Overall Score: 10.2, Points Score: 2
Player: זיו בן שימול, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: טראזי תומא, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רועי אלקוקין, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: יואב תומר, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רז זרבאילוב, Rating: 1, Overall Score: 1.4, Points Score: 0
Player: כארם זועבי, Rating: 1, Overall Score: 1.0, Points Score: 0
Player: קוואמי פפרה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: יאן יוסופוב, Rating: 1, Overall Score: 1.2, Points Score: 0
Player: סער ברמי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ליעד רמות, Rating: 1, Overall Score: 4.9, Points Score: 1
Player: מוחמד פוקרא, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: שובל גוזלן, Rating: 1, Overall Score: 11.7, Points Score: 2
Player: רביד אברג`יל, Rating: 1, Overall Score: 7.2, Points Score: 2
Player: מוחמד חלאיילה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: אחמד המאם, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: אופק אושר, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: גייב סגל, Rating: 1, Overall Score: 10.3, Points Score: 2
Player: בן אז`ובל, Rating: 1, Overall Score: 1.4, Points Score: 0
Player: תומר חמד, Rating: 1, Overall Score: 2.4, Points Score: 0
Player: ראנג`לו יאנגה, Rating: 1, Overall Score: 11.9, Points Score: 1
Player: עומר סניור, Rating: 1, Overall Score: 7.9, Points Score: 2
Player: מור פדידה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: אושר אליהו, Rating: 1, Overall Score: 1.8, Points Score: 0
Player: מג`ד סולימאן, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: נועם שחר, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רום אליגון, Rating: 1, Overall Score: 3.7, Points Score: 1
Player: ג`ארד קאסה, Rating: 1, Overall Score: 6.1, Points Score: 1
Player: צ`ינימירים גודוין, Rating: 1, Overall Score: 1.7, Points Score: 0
Player: איליי מור, Rating: 1, Overall Score: 1.0, Points Score: 0
Player: אוהד ברזילי, Rating: 1, Overall Score: 5.5, Points Score: 1
Player: אימרן אולאד עומאר, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: מיכאל אוחנה, Rating: 1, Overall Score: 7.1, Points Score: 1
Player: אחמד עוואד, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: סארג`י אמטאנס, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: אליה גטהון, Rating: 1, Overall Score: 0.8, Points Score: 0
